Fase,Equipo A,Equipo B,Goles A,Goles B
Grupos – Grupo A,Qatar,Ecuador,,
Grupos – Grupo A,Senegal,Países Bajos,,
Grupos – Grupo A,Qatar,Senegal,,
Grupos – Grupo A,Ecuador,Países Bajos,,
Grupos – Grupo A,Qatar,Países Bajos,,
Grupos – Grupo A,Ecuador,Senegal,,
Grupos – Grupo B,Inglaterra,Irán,,
Grupos – Grupo B,EEUU,Gales,,
Grupos – Grupo B,Irán,Gales,,
Grupos – Grupo B,Inglaterra,EEUU,,
Grupos – Grupo B,Inglaterra,Gales,,
Grupos – Grupo B,Irán,EEUU,,
Grupos – Grupo C,Argentina,A Saudita,,
Grupos – Grupo C,México,Polonia,,
Grupos – Grupo C,A Saudita,Polonia,,
Grupos – Grupo C,Argentina,México,,
Grupos – Grupo C,Argentina,Polonia,,
Grupos – Grupo C,A. Saudita,México,,
Grupos – Grupo D,Dinamarca,Túnez,,
Grupos – Grupo D,Francia,Australia,,
Grupos – Grupo D,Australia,Túnez,,
Grupos – Grupo D,Francia,Dinamarca,,
Grupos – Grupo D,Australia,Dinamarca,,
Grupos – Grupo D,Francia,Túnez,,
Grupos – Grupo E,Alemania,Japón,,
Grupos – Grupo E,España,Costa Rica,,
Grupos – Grupo E,Costa Rica,Japón,,
Grupos – Grupo E,España,Alemania,,
Grupos – Grupo E,España,Japón,,
Grupos – Grupo E,Costa Rica,Alemania,,
Grupos – Grupo F,Marruecos,Croacia,,
Grupos – Grupo F,Bélgica,Canadá,,
Grupos – Grupo F,Bélgica,Marruecos,,
Grupos – Grupo F,Canadá,Croacia,,
Grupos – Grupo F,Bélgica,Croacia,,
Grupos – Grupo F,Canadá,Marruecos,,
Grupos – Grupo G,Suiza,Camerún,,
Grupos – Grupo G,Brasil,Serbia,,
Grupos – Grupo G,Serbia,Camerún,,
Grupos – Grupo G,Brasil,Suiza,,
Grupos – Grupo G,Brasil,Camerún,,
Grupos – Grupo G,Serbia,Suiza,,
Grupos – Grupo H,Uruguay,Corea del Sur,,
Grupos – Grupo H,Portugal,Ghana,,
Grupos – Grupo H,Ghana,Corea del Sur,,
Grupos – Grupo H,Portugal,Uruguay,,
Grupos – Grupo H,Portugal,Corea del Sur,,
Grupos – Grupo H,Ghana,Uruguay,,
